x0002,y0002,x0003,y0003
0,0.8250422478,0,0.8250422478,
2,0.01758985594,2,0.01758985594,
4,0.08670590073,4,0.08670590073,
6,0.08735793084,6,0.08735793084,
8,0.08196873963,8,0.08196873963,
10,0.02241921984,10,0.02241921984,
12,0.1260079294,12,0.1260079294,
14,0.04841163754,14,0.04841163754,
16,0.01137974672,16,0.01137974672,
18,0.6995975375,18,0.6995975375,
20,0.2304186374,20,0.2304186374,
22,0.27388677,22,0.27388677,
24,0.3857196271,24,0.3857196271,
26,0.6285036206,26,0.6285036206,
28,0.03069772199,28,0.03069772199,
30,0.01006837655,30,0.01006837655,
32,0.003333253553,32,0.003333253553,
34,0.006775515154,34,0.006775515154,
36,0.09301885962,36,0.09301885962,
38,0.4944278896,38,0.4944278896,
40,0.2512134314,40,0.2512134314,
42,0.2146247774,42,0.2146247774,
44,0.3708218932,44,0.3708218932,
46,0.812112093,46,0.812112093,
48,0.1800694019,48,0.1800694019,
50,0.3828680217,50,0.3828680217,
52,0.002615270438,52,0.002615270438,
54,0.09528829157,54,0.09528829157,
56,0.005724042188,56,0.005724042188,
58,0.04998504743,58,0.04998504743,
60,0.09778498113,60,0.09778498113,
62,0.06386626512,62,0.06386626512,
64,0.2165448666,64,0.2165448666,
66,0.01778662018,66,0.01778662018,
68,0.02375412732,68,0.02375412732,
70,0.1020455286,70,0.1020455286,
72,0.05372545123,72,0.05372545123,
74,0.9506955743,74,0.9506955743,
76,0.8310146928,76,0.8310146928,
78,0.4807616472,78,0.4807616472,
80,0.8197661638,80,0.8197661638,
82,0.1847838163,82,0.1847838163,
84,0.6453946233,84,0.6453946233,
86,0.7842724323,86,0.7842724323,
88,0.3689147532,88,0.3689147532,
90,0.6350319982,90,0.6350319982,
92,0.005687608384,92,0.005687608384,
94,0.01191347279,94,0.01191347279,
96,0.1510869861,96,0.1510869861,
98,0.01777404547,98,0.01777404547,
100,0.007372941822,100,0.007372941822,
102,0.008236673661,102,0.008236673661,
104,0.004249554127,104,0.004249554127,
106,0.002982587786,106,0.002982587786,
108,0.02015763149,108,0.02015763149,
110,0.254542619,110,0.254542619,
112,0.2521208823,112,0.2521208823,
114,0.5067939162,114,0.5067939162,
116,0.08951828629,116,0.08951828629,
118,0.2475627661,118,0.2475627661,
120,0.3285380006,120,0.3285380006,
122,0.0177234523,122,0.0177234523,
124,0.1226482168,124,0.1226482168,
126,0.06405588239,126,0.06405588239,
128,0.2485232502,128,0.2485232502,
130,0.09893357754,130,0.09893357754,
132,0.2068245709,132,0.2068245709,
134,0.1044788212,134,0.1044788212,
136,0.5229340792,136,0.5229340792,
138,0.2824383378,138,0.2824383378,
140,0.04829731584,140,0.04829731584,
142,0.4305262566,142,0.4305262566,
144,0.1522869617,144,0.1522869617,
146,0.4068090022,146,0.4068090022,
148,0.4683414102,148,0.4683414102,
150,0.700137198,150,0.700137198,
152,0.828456521,152,0.828456521,
154,0.09043188393,154,0.09043188393,
156,0.5226768851,156,0.5226768851,
158,0.3321540356,158,0.3321540356,
160,0.1930122823,160,0.1930122823,
162,0.8688277006,162,0.8688277006,
164,0.2765209377,164,0.2765209377,
166,0.6989817619,166,0.6989817619,
168,0.7041272521,168,0.7041272521,
170,0.1873078644,170,0.1873078644,
172,0.3663857281,172,0.3663857281,
174,0.9304525256,174,0.9304525256,
176,0.9973307848,176,0.9973307848,
178,0.9978932738,178,0.9978932738,
180,0.9992371798,180,0.9992371798,
182,0.9974224567,182,0.9974224567,
184,0.9950290322,184,0.9950290322,
186,0.9988762736,186,0.9988762736,
188,0.9994912148,188,0.9994912148,
190,0.9975651503,190,0.9975651503,
192,0.9994797111,192,0.9994797111,
194,0.9996681213,194,0.9996681213,
196,0.9962951541,196,0.9962951541,
198,0.9619637728,198,0.9619637728,
200,0.969994545,200,0.969994545,
202,0.9685018659,202,0.9685018659,
204,0.5251362324,204,0.5251362324,
206,0.9909425378,206,0.9909425378,
208,0.8975207806,208,0.8975207806,
210,0.9045115113,210,0.9045115113,
212,0.4551849961,212,0.4551849961,
214,0.957030654,214,0.957030654,
216,0.8580056429,216,0.8580056429,
218,0.9744877815,218,0.9744877815,
220,0.9826925993,220,0.9826925993,
222,0.9984045625,222,0.9984045625,
224,0.9982429743,224,0.9982429743,
226,0.9981601834,226,0.9981601834,
228,0.9992820621,228,0.9992820621,
230,0.9979554415,230,0.9979554415,
232,0.9934161901,232,0.9934161901,
234,0.9970517159,234,0.9970517159,
236,0.999417305,236,0.999417305,
238,0.9808976054,238,0.9808976054,
240,0.748147428,240,0.748147428,
242,0.9984582663,242,0.9984582663,
244,0.9975117445,244,0.9975117445,
246,0.9993864298,246,0.9993864298,
248,0.9968601465,248,0.9968601465,
250,0.9846096039,250,0.9846096039,
252,0.9969553947,252,0.9969553947,
254,0.9995398521,254,0.9995398521,
256,0.8339306116,256,0.8339306116,
258,0.9979894161,258,0.9979894161,
260,0.9748317003,260,0.9748317003,
262,0.9971395731,262,0.9971395731,
264,0.9984257221,264,0.9984257221,
266,0.9972658157,266,0.9972658157,
268,0.9997583032,268,0.9997583032,
270,0.9978526831,270,0.9978526831,
272,0.9974930286,272,0.9974930286,
274,0.9811640382,274,0.9811640382,
276,0.9006807208,276,0.9006807208,
278,0.9984920025,278,0.9984920025,
280,0.9983945489,280,0.9983945489,
282,0.9941467047,282,0.9941467047,
284,0.9871246815,284,0.9871246815,
286,0.9925750494,286,0.9925750494,
288,0.9965195656,288,0.9965195656,
290,0.9987956285,290,0.9987956285,
292,0.9994769692,292,0.9994769692,
294,0.9968878627,294,0.9968878627,
296,0.9990848303,296,0.9990848303,
298,0.9923891425,298,0.9923891425,
300,0.9903703332,300,0.9903703332,
302,0.6353888512,302,0.6353888512,
304,0.9907861948,304,0.9907861948,
306,0.8579560518,306,0.8579560518,
308,0.1330490112,308,0.1330490112,
310,0.9644963741,310,0.9644963741,
312,0.7207112908,312,0.7207112908,
314,0.09097036719,314,0.09097036719,
316,0.9352194667,316,0.9352194667,
318,0.9784458876,318,0.9784458876,
320,0.8943690062,320,0.8943690062,
322,0.996832788,322,0.996832788,
324,0.7383645773,324,0.7383645773,
326,0.9970924854,326,0.9970924854,
328,0.9943974018,328,0.9943974018,
330,0.9939690828,330,0.9939690828,
332,0.9988056421,332,0.9988056421,
334,0.9525080323,334,0.9525080323,
336,0.9917519689,336,0.9917519689,
338,0.9903060198,338,0.9903060198,
340,0.9578146935,340,0.9578146935,
342,0.9802881479,342,0.9802881479,
344,0.6446936727,344,0.6446936727,
346,0.999563992,346,0.999563992,
348,0.9937334657,348,0.9937334657,
350,0.9773589969,350,0.9773589969,
352,0.9883665442,352,0.9883665442,
354,0.4848173261,354,0.4848173261,
356,0.6216617823,356,0.6216617823,
358,0.2306639403,358,0.2306639403,
360,0.5690089464,360,0.5690089464,
362,0.1152650788,362,0.1152650788,
364,0.4345732033,364,0.4345732033,
366,0.9918170571,366,0.9918170571,
368,0.9751849174,368,0.9751849174,
370,0.1030711606,370,0.1030711606,
372,0.8123705983,372,0.8123705983,
374,0.5728046894,374,0.5728046894,
376,0.510722518,376,0.510722518,
378,0.07505613565,378,0.07505613565,
380,0.0199489519,380,0.0199489519,
382,0.0123753082,382,0.0123753082,
384,0.01257995516,384,0.01257995516,
386,0.2091072351,386,0.2091072351,
388,0.03383595124,388,0.03383595124,
390,0.1504547894,390,0.1504547894,
392,0.8728801608,392,0.8728801608,
394,0.5393840075,394,0.5393840075,
396,0.5556108952,396,0.5556108952,
398,0.2076863497,398,0.2076863497,
400,0.6174541712,400,0.6174541712,
402,0.03876735643,402,0.03876735643,
404,0.5133628845,404,0.5133628845,
406,0.5367861986,406,0.5367861986,
408,0.4312738776,408,0.4312738776,
410,0.1397255808,410,0.1397255808,
412,0.5000662208,412,0.5000662208,
414,0.8146096468,414,0.8146096468,
416,0.0494479537,416,0.0494479537,
418,0.05154062063,418,0.05154062063,
420,0.1631921381,420,0.1631921381,
422,0.7193656564,422,0.7193656564,
424,0.07794845104,424,0.07794845104,
426,0.4356630445,426,0.4356630445,
428,0.5937609076,428,0.5937609076,
430,0.1167646497,430,0.1167646497,
432,0.6174373627,432,0.6174373627,
434,0.0478339754,434,0.0478339754,
436,0.116997622,436,0.116997622,
438,0.4434235096,438,0.4434235096,
440,0.1050352752,440,0.1050352752,
442,0.4098217189,442,0.4098217189,
444,0.1597384214,444,0.1597384214,
446,0.4058354795,446,0.4058354795,
448,0.1722364724,448,0.1722364724,
450,0.3764395118,450,0.3764395118,
452,0.8563892245,452,0.8563892245,
454,0.7755122781,454,0.7755122781,
456,0.02718734741,456,0.02718734741,
458,0.09308101237,458,0.09308101237,
460,0.1340681762,460,0.1340681762,
462,0.04909494892,462,0.04909494892,
464,0.9667442441,464,0.9667442441,
466,0.7329414487,466,0.7329414487,
468,0.7474808097,468,0.7474808097,
470,0.9775941372,470,0.9775941372,
472,0.9439971447,472,0.9439971447,
474,0.05564282462,474,0.05564282462,
476,0.0667353645,476,0.0667353645,
478,0.7536352277,478,0.7536352277,
480,0.1515268832,480,0.1515268832,
482,0.2481450289,482,0.2481450289,
484,0.3511604667,484,0.3511604667,
486,0.1260585487,486,0.1260585487,
488,0.5130302906,488,0.5130302906,
490,0.9116346836,490,0.9116346836,
492,0.8553689122,492,0.8553689122,
494,0.2583055496,494,0.2583055496,
496,0.3737003803,496,0.3737003803,
498,0.5772244334,498,0.5772244334,
500,0.6057060957,500,0.6057060957,
502,0.1345718205,502,0.1345718205,
504,0.9008674026,504,0.9008674026,
506,0.1877992749,506,0.1877992749,
508,0.084485434,508,0.084485434,
